Date,Open,High,Low,Close,Adj Close,Volume
2022-07-10,77.0,78.0,75.0,76.0,76.0,19500.0
2022-07-11,76.0,77.0,75.0,76.0,76.0,8800.0
2022-07-12,77.0,78.0,73.0,76.0,76.0,103100.0
2022-07-13,76.0,77.0,73.0,76.0,76.0,77500.0
2022-07-14,76.0,76.0,76.0,76.0,76.0,64500.0
2022-07-15,74.0,79.0,73.0,79.0,79.0,90400.0
2022-07-16,74.0,79.0,73.0,79.0,79.0,90400.0
2022-07-17,74.0,79.0,73.0,79.0,79.0,90400.0
2022-07-18,79.0,79.0,75.0,75.0,75.0,15200.0
2022-07-19,75.0,75.0,75.0,75.0,75.0,900.0
2022-07-20,75.0,76.0,75.0,75.0,75.0,19100.0
2022-07-21,75.0,75.0,75.0,75.0,75.0,700.0
2022-07-22,75.0,80.0,75.0,80.0,80.0,97000.0
2022-07-23,75.0,80.0,75.0,80.0,80.0,97000.0
2022-07-24,75.0,80.0,75.0,80.0,80.0,97000.0
2022-07-25,78.0,80.0,77.0,78.0,78.0,3300.0
2022-07-26,78.0,78.0,74.0,78.0,78.0,6900.0
2022-07-27,79.0,79.0,77.0,77.0,77.0,7600.0
2022-07-28,80.0,80.0,74.0,77.0,77.0,9000.0
2022-07-29,77.0,77.0,77.0,77.0,77.0,19900.0
2022-07-30,77.0,77.0,77.0,77.0,77.0,19900.0
2022-07-31,77.0,77.0,77.0,77.0,77.0,19900.0
2022-08-01,77.0,77.0,75.0,75.0,75.0,2100.0
2022-08-02,75.0,78.0,75.0,78.0,78.0,3300.0
2022-08-03,78.0,79.0,74.0,76.0,76.0,24300.0
2022-08-04,75.0,75.0,75.0,75.0,75.0,200.0
2022-08-05,75.0,79.0,75.0,75.0,75.0,5900.0
2022-08-06,75.0,79.0,75.0,75.0,75.0,5900.0
2022-08-07,75.0,79.0,75.0,75.0,75.0,5900.0
2022-08-08,76.0,86.0,76.0,86.0,86.0,125100.0
2022-08-09,86.0,86.0,80.0,86.0,86.0,147300.0
2022-08-10,86.0,86.0,80.0,84.0,84.0,56500.0
2022-08-11,79.0,83.0,79.0,80.0,80.0,30900.0
2022-08-12,81.0,85.0,80.0,80.0,80.0,46900.0
2022-08-13,81.0,85.0,80.0,80.0,80.0,46900.0
2022-08-14,81.0,85.0,80.0,80.0,80.0,46900.0
2022-08-15,80.0,83.0,76.0,83.0,83.0,41400.0
2022-08-16,79.0,81.0,79.0,81.0,81.0,5100.0
2022-08-17,79.0,81.0,79.0,81.0,81.0,5100.0
2022-08-18,81.0,82.0,78.0,82.0,82.0,66000.0
2022-08-19,79.0,80.0,79.0,80.0,80.0,4100.0
2022-08-20,79.0,80.0,79.0,80.0,80.0,4100.0
2022-08-21,79.0,80.0,79.0,80.0,80.0,4100.0
2022-08-22,80.0,82.0,77.0,82.0,82.0,24500.0
